Index,Hogwarts House
174,Slytherin
175,Hufflepuff
176,Gryffindor
177,Gryffindor
178,Hufflepuff
179,Hufflepuff
180,Slytherin
181,Ravenclaw
182,Ravenclaw
183,Gryffindor
184,Slytherin
185,Gryffindor
186,Gryffindor
187,Hufflepuff
188,Ravenclaw
189,Hufflepuff
190,Slytherin
191,Gryffindor
192,Hufflepuff
193,Gryffindor
194,Ravenclaw
195,Ravenclaw
196,Hufflepuff
197,Ravenclaw
198,Hufflepuff
199,Hufflepuff
200,Gryffindor
201,Gryffindor
202,Hufflepuff
203,Ravenclaw
204,Hufflepuff
205,Gryffindor
206,Slytherin
207,Ravenclaw
208,Hufflepuff
209,Gryffindor
210,Ravenclaw
211,Gryffindor
212,Hufflepuff
213,Slytherin
214,Ravenclaw
215,Slytherin
216,Slytherin
217,Hufflepuff
218,Hufflepuff
219,Gryffindor
220,Gryffindor
221,Gryffindor
222,Gryffindor
223,Hufflepuff
224,Hufflepuff
225,Gryffindor
226,Ravenclaw
227,Ravenclaw
228,Ravenclaw
229,Hufflepuff
230,Hufflepuff
231,Gryffindor
232,Hufflepuff
233,Slytherin
234,Ravenclaw
235,Hufflepuff
236,Hufflepuff
237,Hufflepuff
238,Slytherin
239,Gryffindor
240,Gryffindor
241,Hufflepuff
242,Gryffindor
243,Hufflepuff
244,Hufflepuff
245,Gryffindor
246,Gryffindor
247,Ravenclaw
248,Ravenclaw
249,Hufflepuff
250,Hufflepuff
251,Slytherin
252,Slytherin
253,Hufflepuff
254,Hufflepuff
255,Ravenclaw
256,Ravenclaw
257,Hufflepuff
258,Ravenclaw
259,Hufflepuff
260,Ravenclaw
261,Slytherin
262,Ravenclaw
263,Ravenclaw
264,Hufflepuff
265,Hufflepuff
266,Ravenclaw
267,Ravenclaw
268,Gryffindor
269,Ravenclaw
270,Ravenclaw
271,Hufflepuff
272,Slytherin
273,Ravenclaw
274,Gryffindor
275,Ravenclaw
276,Hufflepuff
277,Ravenclaw
278,Gryffindor
279,Gryffindor
280,Hufflepuff
281,Hufflepuff
282,Hufflepuff
283,Hufflepuff
284,Ravenclaw
285,Hufflepuff
286,Ravenclaw
287,Ravenclaw
288,Slytherin
289,Gryffindor
290,Ravenclaw
291,Gryffindor
292,Gryffindor
293,Ravenclaw
294,Hufflepuff
295,Hufflepuff
296,Gryffindor
297,Slytherin
298,Hufflepuff
299,Hufflepuff
300,Hufflepuff
301,Hufflepuff
302,Hufflepuff
303,Hufflepuff
304,Hufflepuff
305,Ravenclaw
306,Slytherin
307,Hufflepuff
308,Ravenclaw
309,Hufflepuff
310,Slytherin
311,Hufflepuff
312,Hufflepuff
313,Hufflepuff
314,Gryffindor
315,Ravenclaw
316,Hufflepuff
317,Ravenclaw
318,Slytherin
319,Hufflepuff
320,Slytherin
321,Slytherin
322,Ravenclaw
323,Ravenclaw
324,Slytherin
325,Ravenclaw
326,Ravenclaw
327,Slytherin
328,Hufflepuff
329,Slytherin
330,Gryffindor
331,Ravenclaw
332,Hufflepuff
333,Gryffindor
334,Ravenclaw
335,Ravenclaw
336,Hufflepuff
337,Ravenclaw
338,Hufflepuff
339,Gryffindor
340,Hufflepuff
341,Hufflepuff
342,Slytherin
343,Ravenclaw
344,Gryffindor
345,Hufflepuff
346,Hufflepuff
347,Hufflepuff
348,Ravenclaw
349,Ravenclaw
350,Slytherin
351,Slytherin
352,Gryffindor
353,Hufflepuff
354,Ravenclaw
355,Slytherin
356,Hufflepuff
357,Hufflepuff
358,Hufflepuff
359,Gryffindor
360,Hufflepuff
361,Ravenclaw
362,Gryffindor
363,Gryffindor
364,Ravenclaw
365,Hufflepuff
366,Gryffindor
367,Hufflepuff
368,Hufflepuff
369,Gryffindor
370,Hufflepuff
371,Slytherin
372,Gryffindor
373,Gryffindor
374,Ravenclaw
375,Hufflepuff
376,Hufflepuff
377,Ravenclaw
378,Slytherin
379,Gryffindor
380,Slytherin
381,Gryffindor
382,Hufflepuff
383,Gryffindor
384,Gryffindor
385,Gryffindor
386,Gryffindor
387,Ravenclaw
388,Ravenclaw
389,Hufflepuff
390,Ravenclaw
391,Slytherin
392,Hufflepuff
393,Hufflepuff
394,Ravenclaw
395,Ravenclaw
396,Slytherin
397,Hufflepuff
398,Hufflepuff
399,Ravenclaw
400,Ravenclaw
